donation_id,donor_id,donation_date,donation_type,donation_amount,payment_method,campaign
DON000001,55082a0b-1ced-4690-b27a-bef30498e823,2024-05-10,One-time,1.0,Paypal,Marine Mammal Defense Mission
DON000002,d4896afd-2f85-4d4d-8c78-f535b4949eae,2025-03-22,One-time,118.24,Bank Transfer,Marine Mammal Defense Mission
DON000003,19272d49-6478-4e35-8516-a2242b702dc1,2024-01-29,Recurring,33.76,Bank Transfer,Rescue Orphaned Gorillas
DON000004,19272d49-6478-4e35-8516-a2242b702dc1,2024-11-02,Recurring,13.59,Bank Transfer,Habitat for Hope
DON000005,19272d49-6478-4e35-8516-a2242b702dc1,2024-11-07,Recurring,44.63,Bank Transfer,Rescue Orphaned Gorillas
DON000006,19272d49-6478-4e35-8516-a2242b702dc1,2024-04-23,Recurring,44.38,Bank Transfer,Marine Mammal Defense Mission
DON000007,d716ac75-0170-4957-b864-d493e606613b,2025-04-17,One-time,52.3,Credit Card,Wildlife Rescue Van Drive
DON000008,0089f96e-a00c-42f0-bf9e-c4a2ba4d0e0b,2024-06-23,Recurring,73.19,Bank Transfer,Jungle Education Project
DON000009,0089f96e-a00c-42f0-bf9e-c4a2ba4d0e0b,2024-12-15,Recurring,9.19,Bank Transfer,Reforest the Sanctuary
DON000010,0089f96e-a00c-42f0-bf9e-c4a2ba4d0e0b,2024-08-26,Recurring,8.88,Bank Transfer,Jungle Education Project
DON000011,91961d14-1d63-4588-84ff-c9e2135f0c7f,2023-09-07,One-time,60.42,Paypal,Jungle Education Project
DON000012,adac1451-aff4-4113-8f7e-cde7ca800fcc,2023-08-16,One-time,77.0,Credit Card,Rescue Orphaned Gorillas
DON000013,59eb8589-3753-4f78-8ccd-48c11aff0171,2024-01-13,One-time,142.28,Paypal,Marine Mammal Defense Mission
DON000014,80425b99-d78c-45b2-8cdd-e5e80c146fdb,2024-12-22,One-time,40.65,Paypal,Habitat for Hope
DON000015,fc3a5dfe-b4e3-46b7-9a30-203b130bcb06,2024-12-06,One-time,52.3,Credit Card,Wildlife Rescue Van Drive
DON000016,90457e4e-0f2f-4894-8b32-2e957b0fcb9b,2025-03-02,One-time,55.66,Paypal,Defend the Great Apes
DON000017,fd3de830-be83-42dc-83eb-ff10900f478c,2024-12-06,One-time,30.76,Bank Transfer,Marine Mammal Defense Mission
DON000018,5255782b-9a6f-40d5-be4a-97fcfb97a262,2024-08-31,Recurring,22.68,Paypal,Marine Mammal Defense Mission
DON000019,5255782b-9a6f-40d5-be4a-97fcfb97a262,2024-06-08,Recurring,69.06,Paypal,Marine Mammal Defense Mission
DON000020,5255782b-9a6f-40d5-be4a-97fcfb97a262,2024-06-29,Recurring,20.27,Paypal,Defend the Great Apes
DON000021,d8f3b350-96ec-45de-aac8-31d3216bb8f8,2024-06-20,One-time,17.06,Credit Card,Defend the Great Apes
DON000022,9afcfa31-7966-4f83-b01b-7641e72c5c4e,2023-08-30,One-time,32.37,Credit Card,Reforest the Sanctuary
DON000023,bd47ac7d-9de4-48a7-9e88-f3feb0542461,2024-08-27,One-time,53.52,Credit Card,Defend the Great Apes
DON000024,609eb136-da8f-4af6-9409-b08b94f4025e,2023-07-17,One-time,1.0,Paypal,Rescue Orphaned Gorillas
DON000025,ceb3d8a2-33a9-4081-9ebe-9c126fb43811,2025-01-24,One-time,28.99,Credit Card,Rescue Orphaned Gorillas
DON000026,945b1239-9d5c-4b8b-b6b5-7897c8b2a988,2025-04-04,One-time,25.19,Paypal,Habitat for Hope
DON000027,4b90e430-8ca3-4324-8a3f-f90a60fe71bc,2024-10-11,One-time,76.25,Paypal,Wildlife Rescue Van Drive
DON000028,0be9760e-d59c-4d96-8729-0709c4972f29,2024-03-28,One-time,37.35,Paypal,Habitat for Hope
DON000029,d64db6f1-8d9e-41b7-a570-bfc45ef85388,2023-12-14,One-time,41.61,Bank Transfer,Wildlife Rescue Van Drive
DON000030,34c756ca-d207-4849-9bf1-5eb8f1594111,2024-07-06,One-time,84.38,Paypal,Jungle Education Project
DON000031,54b368d0-0683-440e-b294-e46a4ec2aff2,2024-04-12,Recurring,88.39,Bank Transfer,Marine Mammal Defense Mission
DON000032,54b368d0-0683-440e-b294-e46a4ec2aff2,2024-06-25,Recurring,72.89,Bank Transfer,Defend the Great Apes
DON000033,54b368d0-0683-440e-b294-e46a4ec2aff2,2024-11-18,Recurring,45.84,Bank Transfer,Habitat for Hope
DON000034,54b368d0-0683-440e-b294-e46a4ec2aff2,2024-12-07,Recurring,54.4,Bank Transfer,Marine Mammal Defense Mission
DON000035,0ddc2e39-1d77-4cc0-bb4b-1c853a6b2b71,2023-08-23,One-time,100.95,Bank Transfer,Reforest the Sanctuary
DON000036,9b536776-aad9-446d-b027-56d00d1d809d,2025-02-06,One-time,77.54,Bank Transfer,Marine Mammal Defense Mission
DON000037,a9a73872-8912-4132-97bb-a5cd5a682874,2024-03-04,One-time,97.98,Paypal,Habitat for Hope
DON000038,1a8f2b14-bdf0-45be-9be1-9fef25c16d32,2024-04-22,One-time,73.11,Bank Transfer,Wildlife Rescue Van Drive
