sector,capacity_band,stage,deal_amount,stage_probability_pct,expected_close_date,fiscal_year,fiscal_quarter,is_closed,is_successful,opportunity_id,donor_id,contact_id
Government,100K-250K,Negotiation,20.0,84,2024-03-14,2024,1,True,True,opp_7459156,55082a0b-1ced-4690-b27a-bef30498e823,contact_2580233
Government,5M+,Evaluation,20.0,55,2024-06-28,2024,2,True,True,opp_3899395,55082a0b-1ced-4690-b27a-bef30498e823,contact_1091055
Healthcare,250K-500K,Negotiation,1000.0,80,2020-02-21,2020,1,True,False,opp_6703032,d4896afd-2f85-4d4d-8c78-f535b4949eae,contact_1774036
Healthcare,500K-1M,Negotiation,1000.0,88,2025-11-25,2026,4,True,False,opp_8679775,d4896afd-2f85-4d4d-8c78-f535b4949eae,contact_5207898
Healthcare,50K-100K,Negotiation,1000.0,71,2021-08-04,2022,3,True,True,opp_4242786,d4896afd-2f85-4d4d-8c78-f535b4949eae,contact_9307492
Healthcare,250K-500K,Engagement,1000.0,31,2020-02-22,2020,1,True,False,opp_1280568,d4896afd-2f85-4d4d-8c78-f535b4949eae,contact_5484613
Healthcare,250K-500K,Discovery,1000.0,14,2027-09-08,2028,3,False,False,opp_4744036,d4896afd-2f85-4d4d-8c78-f535b4949eae,contact_2825153
Technology,2M-5M,Committed,681.8000000000001,100,2023-09-15,2024,3,True,True,opp_4572829,19272d49-6478-4e35-8516-a2242b702dc1,contact_3720413
Technology,1M-2M,Engagement,681.8000000000001,19,2021-05-10,2021,2,True,False,opp_9859998,19272d49-6478-4e35-8516-a2242b702dc1,contact_1867461
Technology,50K-100K,Proposal,681.8000000000001,70,2026-12-28,2027,4,False,False,opp_9108723,19272d49-6478-4e35-8516-a2242b702dc1,contact_1097957
Technology,1M-2M,Engagement,681.8000000000001,21,2021-01-19,2021,1,True,True,opp_5659696,19272d49-6478-4e35-8516-a2242b702dc1,contact_6997220
